[[28803, 50000], [13467, 50000]]	,
[[28773, 50000], [13459, 50000]]	,
[[28716, 50000], [13564, 50000]]	,
[[28953, 50000], [13472, 50000]]	,
[[28716, 50000], [13516, 50000]]	,
[[28739, 50000], [13198, 50000]]	,
[[28937, 50000], [13414, 50000]]	,
[[28753, 50000], [13413, 50000]]	,
[[28848, 50000], [13347, 50000]]	,
[[28747, 50000], [13482, 50000]]	,
[[28776, 50000], [13394, 50000]]	,
[[28811, 50000], [13446, 50000]]	,
[[28674, 50000], [13291, 50000]]	,
[[28807, 50000], [13206, 50000]]	,
[[28946, 50000], [13482, 50000]]	,
[[28694, 50000], [13710, 50000]]	,
[[28649, 50000], [13485, 50000]]	,
[[28713, 50000], [13624, 50000]]	,
[[28878, 50000], [13413, 50000]]	,
[[28774, 50000], [13364, 50000]]	,
[[28781, 50000], [13529, 50000]]	,
[[28809, 50000], [13449, 50000]]	,
[[28880, 50000], [13403, 50000]]	,
[[29015, 50000], [13529, 50000]]	,
[[28629, 50000], [13422, 50000]]	,
[[28736, 50000], [13338, 50000]]	,
[[28684, 50000], [13363, 50000]]	,
[[28829, 50000], [13416, 50000]]	,
[[28874, 50000], [13374, 50000]]	,
[[28710, 50000], [13528, 50000]]	,
[[28629, 50000], [13346, 50000]]	,
[[28920, 50000], [13458, 50000]]	,
[[28724, 50000], [13496, 50000]]	,
[[28754, 50000], [13454, 50000]]	,
[[28773, 50000], [13521, 50000]]	,
[[28778, 50000], [13403, 50000]]	,
[[28756, 50000], [13445, 50000]]	,
[[28652, 50000], [13383, 50000]]	,
[[28646, 50000], [13391, 50000]]	,
[[28766, 50000], [13247, 50000]]	,
[[28829, 50000], [13437, 50000]]	,
[[28823, 50000], [13395, 50000]]	,
[[28854, 50000], [13467, 50000]]	,
[[28764, 50000], [13362, 50000]]	,
[[28551, 50000], [13388, 50000]]	,
[[28970, 50000], [13363, 50000]]	,
[[28722, 50000], [13466, 50000]]	,
[[28866, 50000], [13442, 50000]]	,
[[28765, 50000], [13382, 50000]]	,
[[28735, 50000], [13554, 50000]]	,
[[28818, 50000], [13349, 50000]]	,
[[28691, 50000], [13462, 50000]]	,
[[28585, 50000], [13336, 50000]]	,
[[28790, 50000], [13445, 50000]]	,
[[28699, 50000], [13450, 50000]]	,
[[28715, 50000], [13456, 50000]]	,
[[28813, 50000], [13497, 50000]]	,
[[28569, 50000], [13333, 50000]]	,
[[28682, 50000], [13374, 50000]]	,
[[28772, 50000], [13412, 50000]]	,
[[28757, 50000], [13380, 50000]]	,
[[28692, 50000], [13411, 50000]]	,
[[28767, 50000], [13383, 50000]]	,
[[28813, 50000], [13317, 50000]]	,
[[28663, 50000], [13481, 50000]]	,
[[28742, 50000], [13636, 50000]]	,
[[28695, 50000], [13574, 50000]]	,
[[28963, 50000], [13368, 50000]]	,
[[28861, 50000], [13357, 50000]]	,
[[28836, 50000], [13424, 50000]]	,
[[28790, 50000], [13386, 50000]]	,
[[28604, 50000], [13363, 50000]]	,
[[28668, 50000], [13425, 50000]]	,
[[28695, 50000], [13423, 50000]]	,
[[28809, 50000], [13293, 50000]]	,
[[28707, 50000], [13533, 50000]]	,
[[28733, 50000], [13447, 50000]]	,
[[28740, 50000], [13474, 50000]]	,
[[28827, 50000], [13363, 50000]]	,
[[28802, 50000], [13432, 50000]]	,
[[28751, 50000], [13582, 50000]]	,
[[28787, 50000], [13349, 50000]]	,
[[28794, 50000], [13278, 50000]]	,
[[28578, 50000], [13303, 50000]]	,
[[28701, 50000], [13487, 50000]]	,
[[28773, 50000], [13448, 50000]]	,
[[28708, 50000], [13497, 50000]]	,
[[28732, 50000], [13283, 50000]]	,
[[28959, 50000], [13417, 50000]]	,
[[28762, 50000], [13468, 50000]]	,
[[28819, 50000], [13255, 50000]]	,
[[28780, 50000], [13509, 50000]]	,
